TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
108.672000000,0.0581935,0.00137493,0,2.97273,0,0,0.336075,0.433193,3.08255,0.173643,0.0420775,2.45069
108.714666667,0.196472,0.0544858,0,2.66897,0,0.00216338,0.331487,0.163792,3.62612,0.102926,0.0403099,2.41642
108.757333333,0.270104,0.18044,0,2.60577,0,0,0.376051,0.0799183,3.69352,0.0552375,0.0410682,2.56729
108.800000000,0.204472,0.186725,0,2.7243,0,0.00664474,0.164711,0.0845791,3.86722,0.0620596,0.00148219,2.66236
108.842666667,0.139412,0.158016,0.168714,2.47204,0.195004,0.0029271,0.0313195,0.0260002,3.46952,0.0405194,0,2.59275
108.885333333,0.186593,0.147432,0.178543,2.41085,0.162952,0.00205901,0.0170412,0.0260691,2.80394,0.0100543,0,2.81387
108.928000000,0.172775,0.171913,0.173253,2.40304,0.144866,0.0246361,0.0460518,0.0282456,2.62201,0.0130583,0,2.93178
108.970666667,0.190224,0.160855,0.151487,2.42012,0.0974235,0,0.164795,0.0236635,2.6281,0.0462173,0.00223038,2.95888
109.013333333,0.0345578,0.102174,0.063754,2.45942,0,0.00153306,0.258124,0.0410436,2.7565,0.100593,0.0101149,2.85082
109.056000000,0,0.0104738,0,2.51809,0,0.00217766,0.324874,0.075598,2.99054,0.138839,0.0412135,2.52932
109.098666667,0,0,0,2.71023,0,0.000248708,0.278818,0.0947824,3.12246,0.168506,0.0582101,2.47153
109.141333333,0,0,0,2.59241,0,0,0.193773,0.112417,3.20564,0.175959,0.0927574,2.53523
109.184000000,0,0,0.00516946,2.43699,0.00574458,0,0.146445,0.060905,3.15598,0.0885276,0.191425,2.58257
109.226666667,0,0,0.0623454,2.80717,0.00194258,0,0.142736,0.0483011,3.22734,0.0736565,0.156813,2.4268
109.269333333,0.324632,0.0428117,0.197656,2.13697,0.219589,0.100622,0,0.292214,3.32273,0.081895,0.000240606,1.80496
109.312000000,0.81505,1.88931,0.208265,1.2553,0.240813,0.12831,0.62577,0.497747,2.14696,0.0518272,0.000705461,1.15879
